school,count
THPT Lê Trực - Tuyên Hóa,212
Trường THPT Nguyễn Văn Hưởng,210
THPT Hồng Vân,210
THPT Cẩm Xuyên,209
THPT Vĩnh Hải,209
THPT Mông Dương,209
THPT Dương Đình Nghệ,207
THPT Lương Thế Vinh-Ba Vì,207
THPT Diễn Châu 3,207
THPT Công Nghiệp,205
THPT Tân Đông,204
THPT Phả Lại,203
"THPT Hoàng Quốc Việt, Võ Nhai",203
THPT Phạm Công Bình,203
THPT Thuận Hòa,202
THPT Trần Văn Thành,202
THPT Liên Hà,202
THPT Lương Định Của,202
THPT Bạch Đằng,200
THPT Tháng 10,200
THPT  Trần Văn Kiết,197
THPT Lê Xoay,197
THPT Mỹ Hào,196
THPT  Lê Quý Đôn,195
THPT Ba Hòn,195
THPT Tân Túc,195
THPT Nguyễn Viết Xuân,195
THPT Ngô Quyền-Ba Vì,194
THPT Số 3 An Nhơn,193
THPT Thạnh Tây,193
THPT Lộc An -Bảo Lâm,192
THPT Bắc Kạn,190
TTGDTX Diễn Châu,190
THPT Mỹ Xuyên,189
THPT Dầu Tiếng,189
THPT Hà Văn Mao,189
THPT A Lưới,188
THPT Thái Nguyên,187
THPT Trưng Vương,187
THPT Thạch Thành 4,185
THPT Việt Nam - Ba Lan,185
THPT Cẩm Thuỷ 2,185
THPT Hồng Thái,184
Trường THPT Thanh Sơn,184
THPT Hải An,184
THPT Tân Bình,183
THPT Văn Lãng,183
THPT Võ Minh Đức,181
TTGDTX H. Phổ Yên,180
THPT C Phủ Lý,180
THPT Chuyên Bình Long,180
THPT Hậu Lộc 2,178
THPT số 2 Bắc Hà,177
Trường THPT Công nghiệp Việt Trì,177
THPT Quỳ Hợp 1,176
THPT Lê Quý Đôn-Hà Đông,176
THPT Trần Văn Giàu,174
THPT Bắc Yên Thành,174
THPT Trần Nhật Duật,174
Trường  THPT Di Linh,173
Trường THPT Trần Phú,172
THPT Chuyên (Năng khiếu),172
THPT Hoàng Lệ Kha,172
THPT C Bình Lục,171
THPT Xuân Diệu,171
THPT Đồng Đậu,170
THPT Huỳnh Văn Sâm,170
THPT Bác ái,169
THPT Cổ Loa,169
THPT Hòa Phú,169
THPT Bãi Cháy,169
THPT Lạc Thuỷ A,168
THPT Số 1 An Nhơn,167
THPT Lưu Văn Việt,167
THPT Duy Tân,167
THPT Phú Hòa,165
THPT C Thanh Liêm,164
THPT Lê Văn Phẩm,164
TT GDTX Lâm Đồng,164
THPT Tánh Linh,164
THPT Con Cuông,164
THPT Trần Thị Tâm,162
"THPT Điềm Thuỵ, Phú Bình",161
THPT Tam Đảo,161
THPT Bình Sơn,161
THPT  iSCHOOL Long  An,160
THPT Hòa Đa,158
THPT Hoài Đức A,158
THPT Chuyên Bắc Giang,158
THPT Chuyên Phan Bội Châu,158
TTGDTX H. Định Hoá,157
THPT Đại An,157
THPT Phan Thúc Trực,157
THPT Nguyễn Văn Hai,157
THPT Kiến Tường,157
TTGDTX Quận 12,155
THPT Thạch Thất,155
THPT Hàm Yên,155
THPT DL Her Man,155
THPT Số 1 Bát Xát,155
THPT Trần Văn Ơn,154
THPT Krông Bông,154
THPT Vân Nham,153
THPT Trà Bồng,153
TTGDTX Quảng Điền,152
THPT Số 3 Phù Cát,152
Trường THPT Yên Lập,150
THPT Cô Tô,150
Dân Lập Hermann Gmeiner,149
THPT A Bình Lục,148
THPT A Kim Bảng,147
THPT Gang Thép,147
Trường THPT Mộc Lỵ,147
THPT Cờ Đỏ,146
THPT Cẩm Bình,145
THPT Nguyễn Thượng Hiền,144
THCS THPT Nguyễn Văn Khải,144
THPT Nguyễn Việt Dũng,144
THPT Nguyễn Xuân Ôn,143
THPT Hàm Rồng,143
THPT Hoành Bồ,142
THPT Đình Lập,142
Trường THPT Xuân áng,142
Tiểu học-THCS-THPT Văn Lang,141
TT.GDTX&KTTH-HN; Cần Đước,141
THPT Long Xuyên,141
THPT ATK Tân Trào,140
THPT Na Hang,139
THPT Võ Văn Kiệt,138
Trung tâm GDTX- DN huyện Cầu Ngang,138
THPT Yên Phong 2,137
THPT Trấn Biên,137
THPT Tĩnh Gia 1,137
THPT Chuyên Lê Khiết,136
THPT Lý Nhân,136
TTGDTX Anh Sơn,136
THPT Phước Long,135
THPT Mù Cang Chải,135
TTGDTX Nghĩa Đàn,135
THCS - THPT Hoà Bình,135
THPT  Nguyễn Duy Hiệu,134
THPT Yên Thành 2,134
THPT Nguyễn T Minh Khai,133
THPT Tuệ Tĩnh,133
THPT Phan Văn Đạt,133
THPT Hoá Châu,133
THPT Thành Phố Trà Vinh,132
THPT.DTNT tỉnh,131
Trường Phổ thông DTNT tỉnhTây Ninh,130
TTGDTX H. Tân Yên,130
THPT Minh Hà,129
THPT Phù Lưu,129
Trường phổ thông Phú Tân,129
THPT Triệu Quang Phục,129
THPT Võ Giữ,129
THPT Thạnh Mỹ Tây,129
THPT Đa Phước,129
THPT Phủ Thông,129
THPT Đơn Dương,129
THPT BC Trần Hưng Đạo,127
THPT Dương Văn Dương,127
THPT Chu Văn An-Đức Trọng,127
THPT Thượng Lâm,127
THPT Bình Xuyên,127
THPT Vân Tảo,126
THPT Long Trường,126
Trường THPT Thanh Ba,126
THPT Chiêm Hóa,125
THPT Nguyễn Sỹ Sách,125
THPT Ba Gia,125
Trường THPT Hưng Hoá,125
THPT Diễn Châu 5,124
TTGDTX Thành phố Tây Ninh,124
THPT Quế Võ 2,123
THPT Quản Bạ,121
THPT  Vĩnh Tường,121
THPT Phú Tân,121
THPT chuyên Thăng Long -Đà lạt,120
THPT Đoàn Thị Điểm,120
THPT Trương Vĩnh Ký,120
THPT A Phủ Lý,120
THPT Kẻ Sặt,119
THPT Quảng Xương 1,119
THPT DL Lê Doãn Nhã,119
THPT An Lạc,119
THPT Chiêm Thành Tấn,119
THPT Đầm Dơi,118
THPT Đào Duy Từ,118
THCS và THPT Mỹ Thuận,118
THPT Bắc Duyên Hà,118
THPT Chuyên Quảng Bình,117
THPT Hải Đông,117
THPT Nguyễn Thị Giang,117
THPT thành phố Điện Biên Phủ,116
TTGDTX Quận Bình Thạnh,116
THPT Nguyễn Hồng Đạo,116
THPT DTNT Huỳnh Cương,115
TT GDTX Duy Tiên,115
,114
THPT Lê Lợi Đông Hà,112
THPT Trường Xuân,112
THPT Phạm Thành Trung,112
THPT C Hải Hậu,112
Phổ thông  Huế Star,112
THPT Kim Sơn B,112
THPT NguyễnTrãi,111
THPT Hồ Thị Kỷ,111
TT GDTX TP Huế,111
THPT Cao Lãnh 2,110
THPT Sơn Động,110
THPT Trần Phú-Hoàn Kiếm,110
THPT Xuân Tô,110
THPT Bảo Lộc,109
THPT Trung Phú,109
THPT Vũ Đình Liệu,108
"Cấp 2,3 Khánh Sơn",108
THPT Lương Đắc Bằng,108
THPT Đông Đô,108
Trường THPT Mộc Hạ,108
THPT Số 2 An Lão,107
THPT Nguyễn Trung Thiên,107
THPT Vinh Lộc,107
THPT Đức Tân,107
THPT Thái Nguyên (thuộc ĐH SP Thái Nguyên),107
THPT Na Rỳ,107
THPT Tân Thạnh,106
THPT Đầm Hồng,106
THPT Lê Thế Hiếu,106
THPT Phùng Khắc Khoan-Thạch Thất,106
Trung tâm GDTX Thanh Thuỷ,106
THPT B Phủ Lý,106
THPT Trí Đức,105
THPT chuyên Huỳnh Mẫn Đạt,105
Trường PT Dân tộc nội trú tỉnh Phú Thọ,105
THPT VTC,105
THPT Chuyên Bảo Lộc,105
THPT Đặng Huy Trứ,105
THPT Cù Huy Cận,105
THPT Chuyên Lam Sơn,105
THPT Đakrông,104
THPT Đoàn Văn Tố,104
THPT Vĩnh Lộc B,104
THPT Đồng Đăng,103
TTGDTX Tỉnh,103
THPT Bà Điểm,103
THPT  Quỳ Hợp 2,103
THPT Chuyên Lê Quí Đôn,102
THPT Duyên Hải,102
Trường PTDTNT tỉnh,102
THPT chuyên Nguyễn Quang Diêu,102
THPT Kim Sơn A,102
THPT Thông Linh,102
THPT Phù Cừ,102
THPT Cảm Nhân,101
THPT Lộc Bình,101
THPT Toàn Thắng,101
THPT Nhân Việt,100
THCS THPT Tân Lộc,100
TTGDTX Hưng Nguyên,100
THPT Kiến An,100
THPT  Lê Hồng Phong,100
THPT Chuyên Quang Trung,99
THPT Nguyễn Mai,98
THPT  Nguyễn Du,98
THPT An Nghĩa,98
THPT Dĩ An,97
THPT Nguyễn Đình Liễn,97
THPT Bình Phục Nhứt,97
THPT Hải Đảo,97
THPT Bù Đăng,96
THPT số 4 Tp Lào Cai,95
Trung tâm GDTX Thạnh Phú,95
THPT Cà Mau,94
Trường THPT Lương Sơn,94
THPT Tạ Uyên,93
THPT Nam yên Thành,93
TT GDTX Cao Lộc,93
THPT Nguyễn Bỉnh Khiêm-Cầu Giấy,93
TTGDTX Cửa Lò,93
PT Nguyễn Mộng Tuân,92
THPT Yên Khánh A,92
THPT Hậu Nghĩa,91
THPT Hồng Ngự 1,91
GDTX Yên Minh,91
THPT Chí Linh,90
THPT DTNT Tỉnh,90
THPT Sáng Sơn,88
THPT DT Nội trú tỉnh,88
THPT Tân An,87
Phổ thông Dân Tộc Nội trú,87
